job_category,time_base,Post Id,City,area,Resume Version Sent,treatment,Server or Cook,foh_boh,Interview Requested,interview_requested_binary
Manager,full-time,7605584887,SF bay area,north bay,1,Man,s,FOH,Yes,1
Head Chef,full-time,7605424568,SF bay area,north bay,4,Woman,c,BOH,,0
Server,full-time,7605423375,SF bay area,san francisco,5,Nonbinary,s,FOH,,0
Server,full-time,7605414483,SF bay area,san francisco,1,Man,s,FOH,,0
Line Cook,employee's choice,7605820283,portland,washington co,4,Woman,c,BOH,,0
Line Cook,full-time,7605783776,portland,washington co,6,Nonbinary,c,BOH,,0
Sous Chef,full-time,7604797248,portland,clackamas co,3,Man,c,BOH,,0
Barista,employee's choice,7604784383,portland,clackamas co,2,Woman,s,FOH,,0
Line Cook,full-time,7604757389,portland,clackamas co,6,Nonbinary,c,BOH,Yes,1
Line Cook,employee's choice,7604756209,portland,washington co,3,Man,c,BOH,Yes,1
Line Cook,employee's choice,7604736735,portland,clark/cowlitz,4,Woman,c,BOH,Yes,1
BOH,part-time,7604723331,portland,clark/cowlitz,5,Nonbinary,s,FOH,,0
Server,part-time,7604190308,atlanta,atlanta,2,Woman,s,FOH,Yes,1
Busser,part-time,7604151035,atlanta,atlanta,5,Nonbinary,s,FOH,,0
BOH,part-time,7604028480,atlanta,atlanta,3,Man,c,BOH,Yes,1
Line Cook,full-time,7603943891,atlanta,atlanta,4,Woman,c,BOH,Yes,1
Bartender,full-time,7603907827,atlanta,atlanta,5,Nonbinary,s,FOH,Yes,1
Line Cook,full-time,7604156841,atlanta,atlanta,3,Man,c,BOH,,0
Server,employee's choice,7605934661,portland,clark/cowlitz,1,Man,s,FOH,,0
FOH,employee's choice,7605919198,portland,washington co,2,Woman,s,FOH,,0
Server,part-time,7605916463,portland,yamhill co,5,Nonbinary,s,FOH,,0
Bartender,part-time,7604607057,portland,washington co,6,Nonbinary,c,BOH,,0
Host/Hostess,part-time,7604518364,portland,clark/cowlitz,5,Nonbinary,s,FOH,,0
Line Cook,full-time,7604406320,portland,clackamas co,6,Nonbinary,c,BOH,,0
BOH,full-time,7605999947,SF bay area,north bay,6,Nonbinary,c,BOH,,0
